Frames,Type,RMS,Range,Direction,X,Y,Z
Frame 1,M,,3422.001,,-1147.792,-201.101,-3217.488
Frame 1,M,,5341.55,,-1646.428,699.465,-5033.109
Frame 1,M,,6666.498,,-853.651,-108.584,-6610.725
Frame 1,M,,6202.443,,89.639,1333.911,-6056.645
Frame 1,M,,4498.123,,1108.45,-14.577,-4359.385
Frame 1,M,,8355.234,,-676.694,-842.931,-8285.016
Frame 1,F,,5761.645,,-1999.226,-14.246,-5403.651
Frame 1,F,,4597.339,,-1720.093,-777.746,-4191.887
Frame 1,F,,5045.149,,-1216.035,-794.388,-4831.535
Frame 1,F,,5084.919,,-1128.715,-430.959,-4939.3
Frame 1,F,,5200.768,,-942.322,-993.425,-5017.282
Frame 1,F,,4481.449,,-941.673,-608.427,-4338.946
Frame 1,F,,7911.279,,-764.289,-901.315,-7822.521
Frame 1,F,,5317.158,,292.785,-849.564,-5240.677
Frame 1,F,,5895.677,,1079.19,-1045.236,-5701.038
Frame 1,F,,4746.286,,309.25,-465.221,-4713.296
Frame 1,F,,4120.136,,996.704,-518.324,-3964.018
Frame 1,F,,4241.38,,-241.17,702.189,-4175.891
Frame 1,M,,6838.633,,-69.332,-831.625,-6787.525
Frame 2,M,,6946.071,,-2495.922,768.215,-6436.468
Frame 2,M,,6694.072,,-2189.589,684.936,-6288.653
Frame 2,M,,5357.418,,193.847,-1210.53,-5215.263
Frame 2,M,,6239.373,,-988.059,196.378,-6157.512
Frame 2,M,,7628.989,,-720.332,-232.559,-7591.345
Frame 2,M,,6695.507,,627.176,-709.002,-6628.256
Frame 2,M,,6470.704,,1380.835,-725.42,-6279.895
Frame 2,M,,5411.748,,1469.916,9.92,-5208.288
Frame 2,M,,7098.827,,-146.014,150.146,-7095.737
Frame 2,M,,7554.364,,-1249.228,1430.011,-7311.834
Frame 2,M,,8769.187,,-1315.604,1571.61,-8526.305
Frame 2,M,,7179.622,,441.68,1297.695,-7047.545
Frame 2,M,,8705.464,,1812.728,161.441,-8513.111
Frame 2,M,,9018.521,,-1792.906,572.623,-8819.938
Frame 2,M,,9280.584,,-1588.821,777.838,-9110.425
Frame 2,F,,8109.363,,2057.388,-425.348,-7832.497
Frame 2,F,,6810.166,,-372.308,1154.242,-6701.304
Frame 2,M,,7214.3,,-80.607,392.622,-7203.158
Frame 2,F,,5708.157,,-749.36,-1272.241,-5513.885
Frame 2,F,,6640.921,,-116.773,-694.687,-6603.454
Frame 2,F,,5754.9,,-411.897,-562.55,-5712.508
Frame 2,M,,6127.411,,-571.542,-835.859,-6043.165
Frame 2,F,,6446.148,,-681.711,-1152.151,-6305.604
Frame 2,F,,6351.19,,-661.854,-988.475,-6238.789
Frame 2,F,,5147.549,,-820.838,-782.378,-5021.092
Frame 2,F,,5963.285,,-902.371,-1026.723,-5804.51
Frame 2,M,,7802.088,,-292.8,-1014.088,-7730.36
Frame 2,F,,7238.955,,-515.245,-803.121,-7175.792
Frame 2,F,,6865.776,,-792.965,-484.112,-6802.626
Frame 2,F,,6437.565,,-462.544,-520.198,-6399.82
Frame 2,F,,6579.087,,-1120.295,-472.028,-6465.796
Frame 2,F,,4989.767,,-1150.496,-875.13,-4775.801
Frame 2,F,,5481.564,,-1595.018,-1064.007,-5135.305
Frame 2,F,,5650.216,,-1366.544,-725.359,-5434.276
Frame 2,F,,6333.963,,-1325.006,-312.398,-6185.94
Frame 2,F,,6537.305,,-1692.453,-415.159,-6300.762
Frame 2,F,,7439.828,,-2232.971,115.7,-7095.879
Frame 2,F,,6962.337,,-2299.405,378.59,-6560.758
Frame 2,G,,9482.419,,-3129.883,414.658,-8941.373
Frame 2,G,,8803.793,,-3041.092,133.59,-8260.792
Frame 2,G,,8582.691,,-3075.541,-127.239,-8011.707
Frame 2,G,,7671.665,,-2768.087,-299.605,-7148.592
Frame 2,G,,7498.086,,-2727.441,-475.787,-6968.212
Frame 2,G,,7372.561,,-2739.569,-644.767,-6814.227
Frame 2,G,,6572.466,,-2534.064,-761.917,-6016.254
Frame 2,G,,6250.9,,-2369.564,-947.985,-5706.158
Frame 2,G,,6291.272,,-2460.63,-1089.027,-5686.777
Frame 2,G,,6064.275,,-2302.155,-1180.904,-5484.613
Frame 2,G,,6236.934,,-2146.01,-1308.927,-5707.95
Frame 2,G,,6446.374,,-2218.012,-1172.658,-5938.101
Frame 2,G,,6441.472,,-2193.386,-977.731,-5977.095
Frame 2,G,,6192.292,,-1863.521,-1309.541,-5758.2
Frame 2,G,,6173.983,,-1868.088,-1155.279,-5770.065
Frame 2,G,,6361.431,,-1966.649,-1029.938,-5961.487
Frame 2,G,,6666.7,,-2104.841,-881.957,-6263.92
Frame 2,G,,6985.193,,-2345.481,-776.913,-6533.609
Frame 2,G,,7352.108,,-2305.014,-759.922,-6939.951
Frame 2,G,,7454.65,,-2247.606,-577.457,-7084.252
Frame 2,G,,7649.969,,-2248.647,-404.694,-7300.811
Frame 2,G,,8051.197,,-2445.985,-67.494,-7670.357
Frame 2,G,,9338.398,,-3105.997,-240.377,-8803.447
Frame 2,G,,8333.107,,-2352.74,191.238,-7991.79
Frame 2,G,,7918.417,,-1652.667,417.471,-7732.77
Frame 2,G,,8907.007,,-2153.011,407.019,-8633.287
Frame 2,G,,7856.867,,-2047.5,157.816,-7583.745
Frame 2,G,,7582.805,,-1876.991,-12.506,-7346.814
Frame 2,G,,7450.268,,-1949.235,-250.61,-7186.387
Frame 2,G,,7496.667,,-1887.873,-585.252,-7231.42
Frame 2,G,,6057.044,,-1685.631,-1275.248,-5676.282
Frame 2,G,,6051.354,,-1485.492,-1378.112,-5702.018
Frame 2,G,,5970.003,,-1381.472,-1356.61,-5647.307
Frame 2,G,,6115.309,,-1274.964,-1249.123,-5849.031
Frame 2,G,,6814.988,,-1344.43,-1164.199,-6578.845
Frame 2,G,,7699.189,,-1159.062,-1152.769,-7523.643
Frame 2,G,,6823.397,,-720.596,-830.406,-6734.235
Frame 2,G,,7082.17,,-654.534,-780.297,-7008.555
Frame 2,G,,7701.636,,-913.355,-423.511,-7635.549
Frame 2,G,,7159.266,,-1436.751,-761.276,-6972.18
Frame 2,G,,6973.278,,-1417.65,-849.406,-6774.613
Frame 2,G,,7572.708,,-1439.3,-448.557,-7421.126
Frame 2,G,,6364.05,,-618.093,-1407.561,-6175.586
Frame 2,G,,5987.644,,-972.795,-1385.65,-5743.303
Frame 2,G,,6288.233,,-283.571,-1430.992,-6116.675
Frame 2,G,,6209.231,,-279.299,-1319.307,-6061.021
Frame 2,G,,6484.644,,-158.743,-1237.77,-6363.437
Frame 2,G,,7153.876,,-316.411,-1291.494,-7029.215
Frame 2,G,,7969.426,,-283.61,-1043.007,-7895.787
Frame 2,G,,7116.739,,402.838,-1166.688,-7008.89
Frame 2,G,,7351.204,,450.834,-1060.773,-7260.283
Frame 2,G,,7166.637,,487.377,-892.049,-7094.181
Frame 2,G,,7305.296,,725.202,-1132.093,-7180.515
Frame 2,G,,7184.609,,822.452,-1161.458,-7042.244
Frame 2,G,,6621.301,,892.423,-1405.887,-6408.486
Frame 2,G,,7563.054,,-400.183,-590.429,-7529.345
Frame 2,G,,7785.17,,-280.895,-523.178,-7762.49
Frame 2,G,,6528.43,,-1019.652,-313.88,-6440.666
Frame 2,G,,7714.927,,-1561.101,-220.117,-7552.127
Frame 2,G,,7479.484,,-1540.418,222.231,-7315.764
Frame 2,G,,8411.846,,-3162.174,129.614,-7793.78
Frame 2,G,,7631.139,,-1019.051,-191.143,-7560.376
Frame 2,G,,7573.954,,-1451.467,-32.981,-7433.501
Frame 2,G,,7068.314,,-1988.775,-943.527,-6716.815
Frame 2,G,,7402.311,,-1928.604,-822.291,-7099.192
Frame 2,G,,7329.728,,-56.315,-610.208,-7304.067
Frame 2,G,,7222.858,,186.139,-669.838,-7189.322
Frame 2,G,,6812.957,,631.913,-1369.49,-6643.912
Frame 2,G,,8993.127,,1641.689,-1329.52,-8741.485
Frame 2,G,,7884.092,,1355.902,-1462.886,-7627.608
Frame 2,G,,8492.474,,2410.739,-1488.909,-8005.848
Frame 2,G,,7903.857,,2147.379,-1236.929,-7505.313
Frame 2,G,,8586.082,,1129.976,-543.792,-8494.013
Frame 2,G,,7784.349,,999.749,-130.062,-7718.787
Frame 2,G,,10247.791,,-2737.164,631.227,-9855.288
Frame 2,G,,7357.098,,-2578.024,-459.12,-6875.31
Frame 2,G,,7498.935,,-1826.218,-726.893,-7236.752
Frame 2,G,,9179.147,,-2068.27,-1516.961,-8813.503
Frame 2,G,,6268.908,,-1978.523,-1207.68,-5824.617
Frame 2,G,,6001.555,,-1953.161,-1306.95,-5522.292
Frame 2,G,,8264.767,,-414.653,-263.559,-8250.15
Frame 2,G,,7970.4,,-211.655,-92.558,-7967.051
Frame 2,G,,7190.122,,-63.98,-148.799,-7188.297
Frame 2,G,,6855.718,,733.592,-1207.713,-6708.512
Frame 2,G,,7738.931,,1124.198,-1252.531,-7553.701
Frame 2,G,,9446.081,,2063.601,-1255.636,-9131.998
Frame 2,G,,10056.139,,2719.273,-1302.532,-9593.482
Frame 2,G,,7728.873,,276.49,-196.227,-7721.433
Frame 2,G,,7853.778,,402.046,-193.729,-7841.088
Frame 2,G,,8031.59,,994.615,177.706,-7967.785
Frame 2,G,,7890.339,,195.543,67.241,-7887.629
Frame 2,G,,7607.519,,34.559,-37.222,-7607.349
Frame 2,G,,7734.668,,-7.419,414.2,-7723.566
Frame 2,G,,8460.959,,-280.625,520.315,-8440.281
Frame 2,G,,8663.651,,-672.341,236.71,-8634.279
Frame 2,G,,9337.215,,-1064.655,477.731,-9264.009
Frame 2,G,,8696.359,,523.34,255.068,-8676.849
Frame 2,G,,8347.051,,-705.588,-334.458,-8310.448
Frame 2,G,,7769.343,,-515.518,-438.376,-7739.816
Frame 2,G,,6634.123,,1308.985,-1404.846,-6350.162
Frame 2,G,,7635.16,,693.401,-98.909,-7602.965
Frame 17,G,,7462.411,,2167.448,-850.545,-7089.874
Frame 17,G,,7476.314,,1828.693,-1424.587,-7107.862
Frame 17,G,,7008.367,,1253.497,-1429.469,-6745.559
Frame 17,G,,7660.893,,1162.99,-1305.461,-7458.72
Frame 17,G,,6404.985,,724.133,-1242.449,-6241.457
Frame 17,G,,6927.277,,-360.616,-1213.269,-6810.661
Frame 17,G,,6657.384,,214.654,-1301.947,-6525.307
Frame 17,G,,7122.686,,-63.205,-759.708,-7081.773
Frame 17,G,,6439.769,,-783.184,-1416.971,-6232.932
Frame 17,G,,7153.306,,-1251.137,-1120.578,-6953.326
Frame 17,G,,7225.333,,-675.712,-663.975,-7162.959
Frame 17,G,,7607.485,,-646.347,-363.628,-7571.25
Frame 17,G,,7340.178,,-1550.346,-428.747,-7161.761
Frame 17,G,,6706.489,,-1572.133,-939.35,-6451.59
Frame 17,G,,6709.326,,-1783.832,-1380.395,-6318.822
Frame 17,G,,6922.065,,-2067.218,-834.505,-6553.258
Frame 17,G,,6959.382,,-839.541,-475.498,-6892.174
Frame 17,G,,7779.247,,-1716.208,260.92,-7583.089
Frame 17,G,,7632.109,,-1516.804,-72.264,-7479.516
Frame 17,G,,10157.803,,-1366.876,898.451,-10025.238
Frame 17,G,,7964.496,,-2628.334,25.187,-7518.273
Frame 17,G,,8492.093,,-2296.579,744.666,-8141.673
Frame 17,G,,7271.452,,1084.361,-822.707,-7142.922
Frame 17,G,,7033.375,,638.169,-1001.883,-6932.34
Frame 17,M,,3850.712,,1155.121,-593.185,-3625.163
Frame 17,M,,4492.784,,160.387,-703.364,-4434.486
Frame 17,M,,5633.747,,1044.173,-838.608,-5472.252
Frame 17,M,,8353.943,,2378.143,1288.889,-7903.896
Frame 17,M,,4729.924,,1014.151,753.842,-4558.004
Frame 17,M,,5513.292,,322.631,502.494,-5480.857
Frame 17,M,,7175.177,,-475.486,1520.764,-6996.025
Frame 17,M,,8037.743,,-687.833,1661.005,-7834.109
Frame 17,M,,8300.076,,-976.649,1682.582,-8068.849
Frame 17,M,,6481.224,,-2119.312,636.277,-6091.792
Frame 17,M,,7551.997,,-813.956,-216.997,-7504.868
Frame 17,M,,7022.858,,-2006.724,-370.619,-6719.839
Frame 17,M,,7420.465,,733.651,-164.391,-7382.278
Frame 17,M,,7633.681,,-9.567,78.934,-7633.267
Frame 17,M,,5189.257,,-2039.227,-382.709,-4756.414
Frame 17,M,,6669.05,,-286.321,-152.351,-6661.158
Frame 3,F,,5628.705,,1803.931,-593.371,-5298.685
Frame 3,F,,4988.625,,1427.8,-106.009,-4778.758
Frame 3,F,,4883.904,,503.139,-773.412,-4795.957
Frame 3,F,,5985.124,,-111.388,-358.841,-5973.319
Frame 3,F,,5930.45,,-831.198,-1144.407,-5759.313
Frame 3,F,,6108.443,,-686.06,-693.457,-6030.051
Frame 3,F,,5676.926,,-1503.769,-785.102,-5417.544
Frame 3,F,,7213.718,,-1216.904,-533.444,-7090.297
Frame 3,F,,7596.226,,-1700.487,-507.432,-7386.035
Frame 3,F,,4935.783,,-1804.693,-786.173,-4526.253
Frame 3,F,,6180.7,,-2386.752,-783.902,-5647.119
Frame 3,F,,7394.871,,-2621.774,309.778,-6907.565
Frame 3,F,,6881.268,,-2550.712,41.384,-6390.931
Frame 3,F,,7370.389,,-2800.884,174.768,-6815.214
Frame 3,F,,7725.55,,-2666.28,95.632,-7250.236
Frame 3,M,,3841.64,,1223.854,-441.409,-3614.628
Frame 3,M,,5729.526,,1208.404,-536.145,-5574.924
Frame 3,M,,5589.374,,374.133,869.334,-5508.664
Frame 3,M,,4883.803,,985.595,1018.425,-4673.643
Frame 3,M,,7663.937,,852.839,95.707,-7615.736
Frame 3,M,,7302.189,,-59.433,115.558,-7301.033
Frame 3,M,,7489.961,,-415.363,-79.895,-7478.008
Frame 3,M,,7005.574,,-396.867,1617.24,-6804.785
Frame 3,M,,7786.342,,-1184.936,1654.026,-7515.8
Frame 3,M,,6873.375,,-2570.915,857.527,-6316.513
Frame 3,M,,4443.927,,192.766,-532.443,-4407.701
Frame 3,M,,7541.49,,-1196.012,23.091,-7446.012
Frame 3,M,,7043.052,,-2221.524,-316.894,-6676.001
Frame 3,M,,8001.31,,67.971,1120.453,-7922.179
Frame 3,M,,7217.086,,1464.947,1174.581,-6968.545
Frame 3,M,,4930.146,,-1833.83,-284.939,-4567.518
Frame 3,G,,6699.342,,-2094.455,-1225.074,-6244.488
Frame 3,G,,6775.716,,-1837.984,-1108.715,-6426.732
Frame 3,G,,6464.657,,-1792.512,-1267.287,-6080.516
Frame 3,G,,6586.204,,-1684.308,-1212.498,-6250.683
Frame 3,G,,6516.368,,-1918.069,-1440.254,-6058.856
Frame 3,G,,6588.049,,-1467.64,-1304.75,-6288.565
Frame 3,G,,6632.24,,-1259.378,-1219.348,-6396.387
Frame 3,G,,6702.443,,-1364.412,-1204.324,-6450.638
Frame 3,G,,6811.654,,-2396.51,-1425.121,-6214.854
Frame 3,G,,7116.558,,-2322.105,-863.954,-6671.342
Frame 3,G,,7053.366,,-2150.072,-743.248,-6676.433
Frame 3,G,,7110.171,,-2311.705,-593.915,-6697.598
Frame 3,G,,7089.238,,-2168.109,-539.474,-6727.969
Frame 3,G,,6767.733,,-1682.763,-979.809,-6481.55
Frame 3,G,,6937.566,,-1624.603,-796.005,-6697.526
Frame 3,G,,6747.64,,-1614.312,-586.237,-6525.409
Frame 3,G,,7962.816,,-2194.853,-418.425,-7642.903
Frame 3,G,,7445.694,,-1646.417,-467.446,-7246.321
Frame 3,G,,7228.771,,-1410.912,-706.031,-7054.5
Frame 3,G,,7055.773,,-1224.444,-873.799,-6893.558
Frame 3,G,,7136.257,,-1167.237,-794.825,-6995.139
Frame 3,G,,7022.744,,-957.303,-937.509,-6893.735
Frame 3,G,,6598.957,,-959.485,-1344.353,-6388.923
Frame 3,G,,6522.247,,-749.36,-1296.414,-6348.029
Frame 3,G,,6556.035,,-747.348,-1205.217,-6400.822
Frame 3,G,,6406.844,,-338.435,-1342.954,-6255.364
Frame 3,G,,6445.401,,-280.332,-1279.353,-6310.932
Frame 3,G,,6438.441,,-130.271,-1486.039,-6263.245
Frame 3,G,,6627.693,,50.644,-1447.451,-6467.506
Frame 3,G,,6693.394,,-107.64,-1392.482,-6546.062
Frame 3,G,,6582.117,,286.862,-1460.949,-6411.521
Frame 3,G,,6657.505,,389.061,-1433.101,-6489.778
Frame 3,G,,6741.563,,114.238,-1228.709,-6627.661
Frame 3,G,,7139.821,,-354.231,-1063.902,-7051.218
Frame 3,G,,6685.318,,241.072,-1100.932,-6589.637
Frame 3,G,,6578.153,,150.714,-1069.618,-6488.86
Frame 3,G,,6761.312,,-22.083,-942.311,-6695.29
Frame 3,G,,6952.287,,87.929,-661.605,-6920.176
Frame 3,G,,6817.063,,-231.852,-472.64,-6796.705
Frame 3,G,,6965.67,,-518.637,-928.54,-6883.995
Frame 3,G,,7273.29,,-580.077,-741.931,-7212.059
Frame 3,G,,7299.425,,-635.465,-506.398,-7254.058
Frame 3,G,,7253.664,,-694.789,-298.496,-7214.139
Frame 3,G,,7045.005,,-1117.684,-221.506,-6952.252
Frame 3,G,,7259.479,,-1346.94,-259.398,-7128.71
Frame 3,G,,7305.057,,-1522.723,-183.867,-7142.224
Frame 3,G,,7721.44,,-1841.57,-313.008,-7492.082
Frame 3,G,,7745.054,,-1942.407,-458.293,-7483.508
Frame 3,G,,7810.26,,-1919.057,-115.327,-7569.945
Frame 3,G,,7890.897,,-2314.922,18.17,-7543.677
Frame 3,G,,7589.29,,-1671.602,172.027,-7400.91
Frame 3,G,,8260.828,,-2596.074,49.716,-7842.143
Frame 3,G,,7386.673,,-2624.084,-133.131,-6903.579
Frame 3,G,,7263.7,,-2464.006,-290.334,-6826.838
Frame 3,G,,7639.548,,-2651.354,-32.765,-7164.631
Frame 3,G,,7229.032,,-2747.355,-296.979,-6680.026
Frame 3,G,,7512.687,,-2953.918,-50.051,-6907.411
Frame 3,G,,7484.255,,-1417.501,246.469,-7344.659
Frame 3,G,,7928.179,,-1524.096,753.569,-7743.726
Frame 3,G,,7484.686,,-966.907,612.201,-7396.676
Frame 3,G,,7475.926,,-630.167,-124.918,-7448.271
Frame 3,G,,6508.277,,607.58,-1393.849,-6328.167
Frame 3,G,,6618.415,,688.463,-1255.003,-6461.765
Frame 3,G,,6841.2,,857.271,-899.639,-6727.388
Frame 3,G,,6790.627,,657.657,-758.769,-6715.979
Frame 3,G,,6691.507,,1088.477,-1296.058,-6473.926
Frame 3,G,,7075.863,,1060.178,-984.85,-6926.322
Frame 3,G,,6913.532,,1562.055,-1312.948,-6605.534
Frame 3,G,,7449.093,,2113.794,-580.707,-7119.245
Frame 3,G,,7708.401,,2250.021,-462.153,-7358.211
Frame 3,G,,7835.483,,2386.069,-538.113,-7443.917
Frame 3,G,,7855.446,,2246.819,-289.122,-7521.718
Frame 3,G,,7821.561,,1122.704,-689.181,-7709.823
Frame 3,G,,8316.628,,1084.022,-401.123,-8235.915
Frame 3,G,,9390.788,,1563.113,-47.385,-9259.662
Frame 3,G,,7655.765,,1852.192,-233.123,-7424.673
Frame 3,G,,8158.848,,1895.944,-33.401,-7935.432
Frame 3,G,,8708.578,,-190.217,-79.818,-8706.134
Frame 3,G,,8371.211,,499.872,-399.099,-8346.737
Frame 3,G,,12399.632,,3399.517,314.039,-11920.383
Frame 3,G,,7821.384,,-694.013,597.159,-7767.612
Frame 3,G,,7309.807,,-1164.431,-503.082,-7198.908
Frame 3,G,,7108.117,,-2742.91,-1183.316,-6449.925
Frame 3,G,,7703.545,,-1919.263,427.62,-7448.368
Frame 3,G,,8206.85,,-2567.951,404.763,-7784.227
Frame 3,G,,8023.369,,-2272.188,700.755,-7662.934
Frame 3,G,,7409.116,,-1001.591,912.768,-7284.139
