Site,Period,Transectos,Length,Species,Number,Stage
Bahia Gardner norte,C1,Bahia Gardner norte C1,377,Bodianus diplotaenia,1,M
Bahia Gardner norte,C1,Bahia Gardner norte C1,197,Bodianus diplotaenia,1,F
Bahia Gardner norte,C1,Bahia Gardner norte C1,249,Bodianus diplotaenia,1,F
Bahia Gardner norte,C1,Bahia Gardner norte C1,256,Bodianus diplotaenia,1,F
Bahia Gardner norte,C1,Bahia Gardner norte C1,284,Bodianus diplotaenia,1,F
Bahia Gardner norte,C1,Bahia Gardner norte C1,255,Bodianus diplotaenia,1,F
Bahia Gardner norte,C1,Bahia Gardner norte C1,363,Bodianus diplotaenia,1,M
Bahia Gardner norte,C3,Bahia Gardner norte C3,332,Bodianus diplotaenia,1,AD
Bahia Gardner norte,C3,Bahia Gardner norte C3,166,Bodianus diplotaenia,1,F
Bahia Gardner norte,C3,Bahia Gardner norte C3,224,Bodianus diplotaenia,1,F
Bahia Gardner norte,C3,Bahia Gardner norte C3,389,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,324,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,220,Bodianus diplotaenia,1,F
Bahia Gardner norte,A1,Bahia Gardner norte A1,333,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,445,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,345,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,307,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,398,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,360,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,417,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,368,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,381,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,444,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,319,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,368,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,371,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,413,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,415,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,580,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,277,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,243,Bodianus diplotaenia,1,F
Bahia Gardner norte,A1,Bahia Gardner norte A1,387,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,461,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,398,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,577,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,205,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,446,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,503,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,430,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,473,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,564,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,207,Bodianus diplotaenia,1,F
Bahia Gardner norte,A1,Bahia Gardner norte A1,250,Bodianus diplotaenia,1,F
Bahia Gardner norte,A1,Bahia Gardner norte A1,426,Bodianus diplotaenia,1,M
Bahia Gardner norte,A1,Bahia Gardner norte A1,437,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,383,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,286,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,393,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,468,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,393,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,583,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,277,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,297,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,377,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,409,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,466,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,314,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,353,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,394,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,446,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,382,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,405,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,451,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,226,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,387,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,249,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,395,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,272,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,377,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,388,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,415,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,411,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,301,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,317,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,176,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,312,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,341,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,472,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,252,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,367,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,309,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,249,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,404,Bodianus diplotaenia,1,M
Bahia Gardner norte,A2,Bahia Gardner norte A2,333,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,265,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,171,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,238,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,230,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,246,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,372,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,312,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,162,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,332,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,210,Bodianus diplotaenia,2,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,325,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,322,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,261,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,281,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,274,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,197,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,192,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,183,Bodianus diplotaenia,1,F
Bahia Gardner norte,A2,Bahia Gardner norte A2,280,Bodianus diplotaenia,1,M
Islote Gardner,C2,Islote Gardner C2,233,Bodianus diplotaenia,1,F
Islote Gardner,C2,Islote Gardner C2,246,Bodianus diplotaenia,1,F
Islote Gardner,C3,Islote Gardner C3,242,Bodianus diplotaenia,1,M
Punta Suarez,C1,Punta Suarez C1,382,Bodianus diplotaenia,1,M
Punta Suarez,C1,Punta Suarez C1,284,Bodianus diplotaenia,1,F
Punta Suarez,C1,Punta Suarez C1,474,Bodianus diplotaenia,1,M
Punta Suarez,C2,Punta Suarez C2,271,Bodianus diplotaenia,1,F
Punta Suarez,C2,Punta Suarez C2,317,Bodianus diplotaenia,1,M
Punta Suarez,C2,Punta Suarez C2,233,Bodianus diplotaenia,1,F
Punta Suarez,C2,Punta Suarez C2,306,Bodianus diplotaenia,1,F
Punta Suarez,C2,Punta Suarez C2,296,Bodianus diplotaenia,1,F
Punta Suarez,C2,Punta Suarez C2,255,Bodianus diplotaenia,1,F
Punta Suarez,C3,Punta Suarez C3,372,Bodianus diplotaenia,1,M
Punta Suarez,C3,Punta Suarez C3,358,Bodianus diplotaenia,1,M
